2026-03-06 18:47:33,098 | INFO | scraper.browser | Starting Playwright
2026-03-06 18:47:34,483 | INFO | scraper.browser | Browser launched successfully
2026-03-06 18:47:34,483 | INFO | scraper.linkedin_login | Navigating to LinkedIn login page
2026-03-06 18:47:37,915 | INFO | scraper.linkedin_login | Entering credentials
2026-03-06 18:47:43,723 | INFO | scraper.linkedin_login | LinkedIn login successful
2026-03-06 18:47:46,745 | INFO | scraper.comment_scroller | Opening LinkedIn post: https://www.linkedin.com/posts/shaktesh-pandey-3a2936245_most-transformed-students-award-goes-to-activity-7434753641732939776-P5bp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADzUGaoBsNWoHsC-PjTuvyq3zhztiMg0GB4
2026-03-06 18:47:56,738 | INFO | scraper.comment_scroller | Starting comment scrolling
2026-03-06 18:47:56,738 | INFO | scraper.comment_scroller | Scroll iteration 1
2026-03-06 18:47:58,813 | INFO | scraper.comment_scroller | Clicking load more comments
2026-03-06 18:47:58,965 | WARNING | scraper.comment_scroller | Load more comments button not found
2026-03-06 18:47:58,965 | INFO | scraper.comment_scroller | Scroll iteration 2
2026-03-06 18:48:00,992 | INFO | scraper.comment_scroller | Scroll iteration 3
2026-03-06 18:48:03,008 | INFO | scraper.comment_scroller | Scroll iteration 4
2026-03-06 18:48:05,030 | INFO | scraper.comment_scroller | Scroll iteration 5
2026-03-06 18:48:07,064 | INFO | scraper.comment_scroller | Scroll iteration 6
2026-03-06 18:48:09,095 | INFO | scraper.comment_scroller | Scroll iteration 7
2026-03-06 18:48:11,128 | INFO | scraper.comment_scroller | Scroll iteration 8
2026-03-06 18:48:13,150 | INFO | scraper.comment_scroller | Scroll iteration 9
2026-03-06 18:48:15,169 | INFO | scraper.comment_scroller | Scroll iteration 10
2026-03-06 18:48:17,190 | INFO | scraper.comment_scroller | Finished scrolling comments
2026-03-06 18:48:17,191 | INFO | scraper.comment_extractor | Extracting comments from page
2026-03-06 18:48:17,245 | INFO | scraper.comment_extractor | Total comment containers: 23
2026-03-06 18:48:18,079 | INFO | scraper.comment_extractor | Extracted 0 comments
2026-03-06 18:48:28,085 | INFO | scraper.browser | Closing browser
2026-03-06 18:54:02,356 | INFO | scraper.browser | Starting Playwright
2026-03-06 18:54:03,825 | INFO | scraper.browser | Browser launched successfully
2026-03-06 18:54:03,825 | INFO | scraper.linkedin_login | Navigating to LinkedIn login page
2026-03-06 18:54:07,067 | INFO | scraper.linkedin_login | Entering credentials
2026-03-06 18:54:12,787 | INFO | scraper.linkedin_login | LinkedIn login successful
2026-03-06 18:54:15,799 | INFO | scraper.comment_scroller | Opening LinkedIn post: https://www.linkedin.com/posts/shaktesh-pandey-3a2936245_most-transformed-students-award-goes-to-activity-7434753641732939776-P5bp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADzUGaoBsNWoHsC-PjTuvyq3zhztiMg0GB4
2026-03-06 18:54:25,770 | INFO | scraper.comment_scroller | Starting comment scrolling
2026-03-06 18:54:25,770 | INFO | scraper.comment_scroller | Scroll iteration 1
2026-03-06 18:54:27,840 | INFO | scraper.comment_scroller | Clicking load more comments
2026-03-06 18:54:27,953 | WARNING | scraper.comment_scroller | Load more comments button not found
2026-03-06 18:54:27,956 | INFO | scraper.comment_scroller | Scroll iteration 2
2026-03-06 18:54:30,034 | INFO | scraper.comment_scroller | Scroll iteration 3
2026-03-06 18:54:32,052 | INFO | scraper.comment_scroller | Scroll iteration 4
2026-03-06 18:54:34,072 | INFO | scraper.comment_scroller | Scroll iteration 5
2026-03-06 18:54:36,093 | INFO | scraper.comment_scroller | Scroll iteration 6
2026-03-06 18:54:38,114 | INFO | scraper.comment_scroller | Scroll iteration 7
